NSUPPORTED: stdio-common/tst-printf-format-p-ldouble-f
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-f
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-g
UNSUPPORTED: stdio-common/tst-printf-format-s-ldouble-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-llong
UNSUPPORTED: stdio-common/tst-printf-format-s-llong-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-long
UNSUPPORTED: stdio-common/tst-printf-format-s-long-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-ullong
UNSUPPORTED: stdio-common/tst-printf-format-s-ullong-mem
UNSUPPORTED: stdio-common/tst-printf-format-s-ulong
UNSUPPORTED: stdio-common/tst-printf-format-s-ulong-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-E
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-F
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-G
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-e
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-f
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-g
UNSUPPORTED: stdio-common/tst-printf-format-sn-double-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-E
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-F
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-G
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-e
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-f
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-g
UNSUPPORTED: stdio-common/tst-printf-format-sn-ldouble-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-llong
UNSUPPORTED: stdio-common/tst-printf-format-sn-llong-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-long
UNSUPPORTED: stdio-common/tst-printf-format-sn-long-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-ullong
UNSUPPORTED: stdio-common/tst-printf-format-sn-ullong-mem
UNSUPPORTED: stdio-common/tst-printf-format-sn-ulong
UNSUPPORTED: stdio-common/tst-printf-format-sn-ulong-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-double-E
UNSUPPORTED: stdio-common/tst-printf-format-v-double-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-double-F
UNSUPPORTED: stdio-common/tst-printf-format-v-double-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-double-G
UNSUPPORTED: stdio-common/tst-printf-format-v-double-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-double-e
UNSUPPORTED: stdio-common/tst-printf-format-v-double-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-double-f
UNSUPPORTED: stdio-common/tst-printf-format-v-double-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-double-g
UNSUPPORTED: stdio-common/tst-printf-format-v-double-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-E
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-F
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-G
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-e
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-f
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-g
UNSUPPORTED: stdio-common/tst-printf-format-v-ldouble-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-llong
UNSUPPORTED: stdio-common/tst-printf-format-v-llong-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-long
UNSUPPORTED: stdio-common/tst-printf-format-v-long-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-ullong
UNSUPPORTED: stdio-common/tst-printf-format-v-ullong-mem
UNSUPPORTED: stdio-common/tst-printf-format-v-ulong
UNSUPPORTED: stdio-common/tst-printf-format-v-ulong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-E
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-F
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-G
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-e
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-f
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-g
UNSUPPORTED: stdio-common/tst-printf-format-vas-double-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-E
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-F
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-G
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-e
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-f
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-g
UNSUPPORTED: stdio-common/tst-printf-format-vas-ldouble-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-llong
UNSUPPORTED: stdio-common/tst-printf-format-vas-llong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-long
UNSUPPORTED: stdio-common/tst-printf-format-vas-long-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-ullong
UNSUPPORTED: stdio-common/tst-printf-format-vas-ullong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vas-ulong
UNSUPPORTED: stdio-common/tst-printf-format-vas-ulong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-E
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-F
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-G
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-e
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-f
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-g
UNSUPPORTED: stdio-common/tst-printf-format-vd-double-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-E
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-F
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-G
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-e
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-f
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-g
UNSUPPORTED: stdio-common/tst-printf-format-vd-ldouble-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-llong
UNSUPPORTED: stdio-common/tst-printf-format-vd-llong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-long
UNSUPPORTED: stdio-common/tst-printf-format-vd-long-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-ullong
UNSUPPORTED: stdio-common/tst-printf-format-vd-ullong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vd-ulong
UNSUPPORTED: stdio-common/tst-printf-format-vd-ulong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-E
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-F
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-G
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-e
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-f
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-g
UNSUPPORTED: stdio-common/tst-printf-format-vf-double-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-E
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-F
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-G
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-e
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-f
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-g
UNSUPPORTED: stdio-common/tst-printf-format-vf-ldouble-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-llong
UNSUPPORTED: stdio-common/tst-printf-format-vf-llong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-long
UNSUPPORTED: stdio-common/tst-printf-format-vf-long-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-ullong
UNSUPPORTED: stdio-common/tst-printf-format-vf-ullong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vf-ulong
UNSUPPORTED: stdio-common/tst-printf-format-vf-ulong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-E
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-F
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-G
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-e
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-f
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-g
UNSUPPORTED: stdio-common/tst-printf-format-vs-double-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-E
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-F
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-G
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-e
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-f
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-g
UNSUPPORTED: stdio-common/tst-printf-format-vs-ldouble-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-llong
UNSUPPORTED: stdio-common/tst-printf-format-vs-llong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-long
UNSUPPORTED: stdio-common/tst-printf-format-vs-long-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-ullong
UNSUPPORTED: stdio-common/tst-printf-format-vs-ullong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vs-ulong
UNSUPPORTED: stdio-common/tst-printf-format-vs-ulong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-E
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-F
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-G
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-e
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-f
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-g
UNSUPPORTED: stdio-common/tst-printf-format-vsn-double-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-E
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-E-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-F
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-F-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-G
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-G-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-e
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-e-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-f
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-f-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-g
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ldouble-g-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-llong
UNSUPPORTED: stdio-common/tst-printf-format-vsn-llong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-long
UNSUPPORTED: stdio-common/tst-printf-format-vsn-long-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ullong
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ullong-mem
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ulong
UNSUPPORTED: stdio-common/tst-printf-format-vsn-ulong-mem
FAIL: stdio-common/tst-printf-fp-free
FAIL: stdio-common/tst-printf-fp-leak
FAIL: stdlib/test-bz22786
UNSUPPORTED: stdlib/tst-secure-getenv
UNSUPPORTED: stdlib/tst-system
UNSUPPORTED: string/tst-memchr-rtm
UNSUPPORTED: string/tst-memcmp-rtm
UNSUPPORTED: string/tst-memmove-rtm
UNSUPPORTED: string/tst-memrchr-rtm
UNSUPPORTED: string/tst-memset-rtm
UNSUPPORTED: string/tst-strcasecmp-rtm
UNSUPPORTED: string/tst-strchr-rtm
UNSUPPORTED: string/tst-strcmp-rtm
UNSUPPORTED: string/tst-strcpy-rtm
UNSUPPORTED: string/tst-strerror
UNSUPPORTED: string/tst-strlen-rtm
UNSUPPORTED: string/tst-strncasecmp-rtm
UNSUPPORTED: string/tst-strncmp-rtm
UNSUPPORTED: string/tst-strrchr-rtm
UNSUPPORTED: string/tst-strsignal
UNSUPPORTED: string/tst-wcscmp-rtm
UNSUPPORTED: string/tst-wcsncmp-rtm
FAIL: support/tst-support-open-dev-null-range
FAIL: support/tst-support-process_state
FAIL: support/tst-support_descriptors
UNSUPPORTED: support/tst-support_fuse
UNSUPPORTED: time/tst-clock_settime
UNSUPPORTED: time/tst-settimeofday
FAIL: wcsmbs/tst-fgetwc-after-eof
                === Summary of results ===
     97 FAIL
   5432 PASS
    644 UNSUPPORTED
     16 XFAIL
      4 XPASS
make[1]: *** [Makefile:673: tests] Error 1
make[1]: Leaving directory '/sources/glibc-2.41'
make: *** [Makefile:23: check] Error 2
(lfs chroot) root:/sources/glibc-2.41/build# grep -A 10 'FAIL:' /sources/glibc-2.41/build/tests.sum
FAIL: c++-types-check
PASS: check-installed-headers-c
PASS: check-installed-headers-cxx
PASS: check-local-headers
PASS: check-wrapper-headers
PASS: link-static-libc
PASS: lint-makefiles

Running argp ...
PASS: argp/argp-test
PASS: argp/bug-argp1
--
XFAIL: conform/UNIX98/ndbm.h/conform
XFAIL: conform/UNIX98/ndbm.h/linknamespace
PASS: conform/UNIX98/netdb.h/conform
PASS: conform/UNIX98/netdb.h/linknamespace
PASS: conform/UNIX98/netinet/in.h/conform
PASS: conform/UNIX98/netinet/in.h/linknamespace
PASS: conform/UNIX98/nl_types.h/conform
PASS: conform/UNIX98/nl_types.h/linknamespace
PASS: conform/UNIX98/poll.h/conform
PASS: conform/UNIX98/poll.h/linknamespace
PASS: conform/UNIX98/pthread.h/conform
PASS: conform/UNIX98/pthread.h/linknamespace
--
XFAIL: conform/UNIX98/varargs.h/conform
XFAIL: conform/UNIX98/varargs.h/linknamespace
PASS: conform/UNIX98/wchar.h/conform
PASS: conform/UNIX98/wchar.h/linknamespace
PASS: conform/UNIX98/wctype.h/conform
PASS: conform/UNIX98/wctype.h/linknamespace
PASS: conform/UNIX98/wordexp.h/conform
PASS: conform/UNIX98/wordexp.h/linknamespace
PASS: conform/XOPEN2K/aio.h/conform
PASS: conform/XOPEN2K/aio.h/linknamespace
PASS: conform/XOPEN2K/arpa/inet.h/conform
PASS: conform/XOPEN2K/arpa/inet.h/linknamespace
--
XFAIL: conform/XOPEN2K/ndbm.h/conform
XFAIL: conform/XOPEN2K/ndbm.h/linknamespace
PASS: conform/XOPEN2K/net/if.h/conform
PASS: conform/XOPEN2K/net/if.h/linknamespace
PASS: conform/XOPEN2K/netdb.h/conform
PASS: conform/XOPEN2K/netdb.h/linknamespace
PASS: conform/XOPEN2K/netinet/in.h/conform
PASS: conform/XOPEN2K/netinet/in.h/linknamespace
PASS: conform/XOPEN2K/netinet/tcp.h/conform
PASS: conform/XOPEN2K/netinet/tcp.h/linknamespace
PASS: conform/XOPEN2K/nl_types.h/conform
PASS: conform/XOPEN2K/nl_types.h/linknamespace
--
XFAIL: conform/XOPEN2K8/ndbm.h/conform
XFAIL: conform/XOPEN2K8/ndbm.h/linknamespace
PASS: conform/XOPEN2K8/net/if.h/conform
PASS: conform/XOPEN2K8/net/if.h/linknamespace
PASS: conform/XOPEN2K8/netdb.h/conform
PASS: conform/XOPEN2K8/netdb.h/linknamespace
PASS: conform/XOPEN2K8/netinet/in.h/conform
PASS: conform/XOPEN2K8/netinet/in.h/linknamespace
PASS: conform/XOPEN2K8/netinet/tcp.h/conform
PASS: conform/XOPEN2K8/netinet/tcp.h/linknamespace
PASS: conform/XOPEN2K8/nl_types.h/conform
PASS: conform/XOPEN2K8/nl_types.h/linknamespace
--
XFAIL: conform/XPG4/varargs.h/conform
XFAIL: conform/XPG4/varargs.h/linknamespace
PASS: conform/XPG4/wordexp.h/conform
PASS: conform/XPG4/wordexp.h/linknamespace
PASS: conform/XPG42/arpa/inet.h/conform
PASS: conform/XPG42/arpa/inet.h/linknamespace
PASS: conform/XPG42/assert.h/conform
PASS: conform/XPG42/assert.h/linknamespace
PASS: conform/XPG42/cpio.h/conform
PASS: conform/XPG42/cpio.h/linknamespace
PASS: conform/XPG42/ctype.h/conform
PASS: conform/XPG42/ctype.h/linknamespace
--
XFAIL: conform/XPG42/ndbm.h/conform
XFAIL: conform/XPG42/ndbm.h/linknamespace
PASS: conform/XPG42/netdb.h/conform
PASS: conform/XPG42/netdb.h/linknamespace
PASS: conform/XPG42/netinet/in.h/conform
PASS: conform/XPG42/netinet/in.h/linknamespace
PASS: conform/XPG42/nl_types.h/conform
PASS: conform/XPG42/nl_types.h/linknamespace
PASS: conform/XPG42/poll.h/conform
PASS: conform/XPG42/poll.h/linknamespace
PASS: conform/XPG42/pwd.h/conform
PASS: conform/XPG42/pwd.h/linknamespace
--
XFAIL: conform/XPG42/varargs.h/conform
XFAIL: conform/XPG42/varargs.h/linknamespace
PASS: conform/XPG42/wordexp.h/conform
PASS: conform/XPG42/wordexp.h/linknamespace
PASS: conform/header-list-ISO
PASS: conform/header-list-ISO11
PASS: conform/header-list-ISO99
PASS: conform/header-list-POSIX
PASS: conform/header-list-POSIX2008
PASS: conform/header-list-UNIX98
PASS: conform/header-list-XOPEN2K
PASS: conform/header-list-XOPEN2K8
--
FAIL: debug/tst-fortify-c-default-2-def
FAIL: debug/tst-fortify-c-default-3-def
PASS: debug/tst-fortify-c-lfs-1-def
FAIL: debug/tst-fortify-c-lfs-2-def
FAIL: debug/tst-fortify-c-lfs-3-def
PASS: debug/tst-fortify-c-nongnu-1-def
FAIL: debug/tst-fortify-c-nongnu-2-def
FAIL: debug/tst-fortify-c-nongnu-3-def
PASS: debug/tst-fortify-cc-default-1-def
FAIL: debug/tst-fortify-cc-default-2-def
FAIL: debug/tst-fortify-cc-default-3-def
PASS: debug/tst-fortify-cc-lfs-1-def
FAIL: debug/tst-fortify-cc-lfs-2-def
FAIL: debug/tst-fortify-cc-lfs-3-def
PASS: debug/tst-fortify-cc-nongnu-1-def
FAIL: debug/tst-fortify-cc-nongnu-2-def
FAIL: debug/tst-fortify-cc-nongnu-3-def
UNSUPPORTED: debug/tst-fortify-syslog
FAIL: debug/tst-fortify-wide
PASS: debug/tst-longjmp_chk
PASS: debug/tst-longjmp_chk2
PASS: debug/tst-longjmp_chk3
PASS: debug/tst-realpath-chk
PASS: debug/tst-sprintf-fortify-rdonly
PASS: debug/tst-sprintf-fortify-unchecked
PASS: debug/tst-ssp-1

Running dirent ...
PASS: dirent/bug-readdir1
--
FAIL: dirent/tst-closedir-leaks
FAIL: dirent/tst-closedir-leaks-mem
PASS: dirent/tst-fdopendir
PASS: dirent/tst-fdopendir2
PASS: dirent/tst-getdents64
UNSUPPORTED: dirent/tst-readdir-long
UNSUPPORTED: dirent/tst-readdir-zero-inode
PASS: dirent/tst-readdir64-compat
UNSUPPORTED: dirent/tst-rewinddir
PASS: dirent/tst-scandir
PASS: dirent/tst-scandir64
PASS: dirent/tst-seekdir
--
FAIL: elf/tst-audit10
PASS: elf/tst-audit11
PASS: elf/tst-audit12
PASS: elf/tst-audit13
PASS: elf/tst-audit14
PASS: elf/tst-audit14-cmp
PASS: elf/tst-audit14a
PASS: elf/tst-audit14a-cmp
PASS: elf/tst-audit15
PASS: elf/tst-audit15-cmp
PASS: elf/tst-audit16
--
FAIL: elf/tst-cpu-features-cpuinfo
FAIL: elf/tst-cpu-features-cpuinfo-static
PASS: elf/tst-cpu-features-supports
PASS: elf/tst-cpu-features-supports-static
PASS: elf/tst-create_format1
PASS: elf/tst-debug1
UNSUPPORTED: elf/tst-decorate-maps
PASS: elf/tst-deep1
PASS: elf/tst-dl-hash
PASS: elf/tst-dl-hwcaps_split
PASS: elf/tst-dl-is_dso
PASS: elf/tst-dl-iter-static
--
FAIL: gmon/tst-gmon-pie-gprof
PASS: gmon/tst-gmon-static
PASS: gmon/tst-gmon-static-gprof
FAIL: gmon/tst-gmon-static-pie-gprof
PASS: gmon/tst-mcleanup
PASS: gmon/tst-mcount-overflow
PASS: gmon/tst-mcount-overflow-check
PASS: gmon/tst-sprofil

Running gnulib ...
PASS: gnulib/tst-gcc

Running hesiod ...
PASS: hesiod/check-abi-libnss_hesiod
--
FAIL: inet/tst-if_index-long
PASS: inet/tst-if_nameindex
PASS: inet/tst-inet6_rth
PASS: inet/tst-inet6_scopeid_pton
PASS: inet/tst-network
PASS: inet/tst-ntoa
PASS: inet/tst-sockaddr

Running intl ...
PASS: intl/check-installed-headers-c
PASS: intl/check-installed-headers-cxx
--
FAIL: io/tst-close_range
FAIL: io/tst-closefrom
PASS: io/tst-copy_file_range
PASS: io/tst-faccessat
FAIL: io/tst-faccessat-setuid
PASS: io/tst-fallocate
PASS: io/tst-fallocate64
PASS: io/tst-fchmod-errors
UNSUPPORTED: io/tst-fchmod-fuse
PASS: io/tst-fchmodat
PASS: io/tst-fchownat
PASS: io/tst-fcntl
PASS: io/tst-fcntl-lock
PASS: io/tst-fcntl-lock-lfs
PASS: io/tst-file_change_detection
--
FAIL: io/tst-lchmod
PASS: io/tst-linkat
PASS: io/tst-lockf
UNSUPPORTED: io/tst-lstat-nofollow
PASS: io/tst-lutimes
PASS: io/tst-mkdirat
PASS: io/tst-mkfifoat
PASS: io/tst-mknodat
PASS: io/tst-o_path-locks
